~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;509;1;120;32;32;20;16896
~/Workplace/PSL/Smart_Induct/Evaluation/Boolean_Expression_Checkers.thy;125;3;384;72;72;21;29847
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;325;7;256;56;56;21;49385
~/Workplace/PSL/Smart_Induct/Evaluation/Boolean_Expression_Checkers.thy;155;2;60;28;28;21;5049
~/Workplace/PSL/Smart_Induct/Evaluation/Boolean_Expression_Checkers.thy;146;3;256;56;56;21;19461
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;625;1;40;24;24;21;5570
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;442;-;512;88;88;21;48130
~/Workplace/PSL/Smart_Induct/Evaluation/Boolean_Expression_Checkers.thy;165;1;2080;96;96;21;21537
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;555;-;256;72;72;21;47135
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;631;3;60;36;36;21;19142
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;531;-;120;16;16;18;40520
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;483;5;512;48;48;19;55450
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;524;1;20;12;12;19;2818
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;124;1;3120;592;592;21;151233
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;681;9;1040;48;48;21;24688
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;696;4;1040;32;32;21;22688
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;712;1;128;24;24;19;17391
~/Workplace/PSL/Smart_Induct/Evaluation/Boolean_Expression_Checkers.thy;214;1;384;48;48;21;57100
