~/Workplace/PSL/SeLFiE/Evaluation/Boolean_Expression_Checkers.thy;155;2;13;7;5;11;5;37;1746
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;518;8;19;5;5;16;5;33;4247
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;330;1;35;16;5;11;5;36;12308
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;322;3;42;17;5;22;5;37;18085
~/Workplace/PSL/SeLFiE/Evaluation/Boolean_Expression_Checkers.thy;165;2;37;7;5;48;5;37;7327
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;334;1;37;14;5;13;5;34;15779
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;506;1;29;9;5;13;5;36;9170
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;564;-;21;5;5;16;5;36;3060
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;439;-;59;13;5;16;5;37;15193
~/Workplace/PSL/SeLFiE/Evaluation/Boolean_Expression_Checkers.thy;131;1;70;15;5;72;5;37;36220
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;250;8;54;18;5;16;5;35;34232
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;622;1;11;5;5;5;5;37;871
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;552;-;38;14;5;16;5;37;24860
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;628;3;34;12;5;11;5;35;6628
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;480;3;44;12;5;28;5;34;38758
~/Workplace/PSL/SeLFiE/Evaluation/Boolean_Expression_Checkers.thy;214;1;32;6;5;13;5;37;10753
~/Workplace/PSL/SeLFiE/Evaluation/Challenge1A.thy;281;-;29;5;5;72;5;36;107226
~/Workplace/PSL/SeLFiE/Evaluation/Boolean_Expression_Checkers.thy;210;-;42;14;5;28;5;36;19554
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;693;1;41;1;1;1;1;37;1920
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;678;3;62;3;3;8;3;35;2880
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;685;2;61;3;3;8;3;37;4433
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;702;1;85;2;2;3;2;37;4134
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;750;1;51;2;2;3;2;35;4173
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;732;2;25;3;3;8;3;35;6716
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;709;1;91;4;4;12;4;35;7207
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;741;2;62;3;3;8;3;35;6466
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;44;2;20;2;2;6;2;37;928
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;47;1;11;2;2;3;2;37;441
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;722;1;67;1;1;64;1;37;14171
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;50;1;37;4;4;56;4;37;11418
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;279;1;32;5;5;32;5;36;5593
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;415;1;53;5;5;64;5;36;15331
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;528;-;33;10;5;9;5;33;73295
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;285;1;41;2;2;24;2;37;25900
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;521;1;17;6;5;9;5;35;1204
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;237;2;17;7;5;13;5;37;45403
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;305;-;21;7;5;36;5;37;48738
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;77;1;73;5;5;256;5;37;69192
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;791;1;25;3;3;10;3;35;1476
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;788;1;26;4;4;14;4;37;1910
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;800;1;18;4;4;12;4;37;2041
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;838;1;16;3;3;10;3;37;1602
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;797;1;30;6;5;32;5;35;4801
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;824;1;16;3;3;10;3;37;1884
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;849;-;18;4;4;24;4;37;2232
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;803;-;33;7;5;64;5;37;10044
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;476;-;35;12;5;56;5;35;43399
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;794;1;42;8;5;64;5;35;18177
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;911;1;31;6;5;64;5;37;98122
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;852;3;41;7;5;10;5;37;89660
~/Workplace/PSL/SeLFiE/Evaluation/Goodstein_Lambda.thy;338;-;62;24;5;5;5;33;147031
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;926;6;23;5;5;32;5;35;9681
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;929;2;16;2;2;16;2;35;3835
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;932;1;22;1;1;2;1;34;10799
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;935;1;9;2;2;6;2;37;599
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;922;1;35;7;5;128;5;37;50252
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;941;4;35;7;5;64;5;37;34053
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;917;5;40;9;5;112;5;36;239444
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;900;1;27;4;4;80;4;37;582127
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1046;1;28;6;5;64;5;37;11134
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1053;1;7;1;1;1;1;37;187
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1060;1;16;1;1;1;1;34;696
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;806;-;65;10;5;20;5;37;475158
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1161;1;15;2;2;6;2;37;471
~/Workplace/PSL/SeLFiE/Evaluation/Boolean_Expression_Checkers.thy;346;2;8;3;3;4;3;37;720
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1313;1;17;3;3;16;3;37;5645
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1319;1;23;5;5;56;5;36;10414
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1346;1;43;7;5;64;5;37;45693
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1586;1;38;5;5;32;5;37;50522
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;818;2;70;9;5;56;5;37;586248
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1192;5;86;4;4;48;4;35;74116
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1685;1;8;1;1;1;1;36;551
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1688;1;12;1;1;1;1;35;565
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1708;1;20;2;2;6;2;37;5287
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1716;1;18;1;1;1;1;31;6454
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1722;2;22;2;2;3;2;32;6503
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1719;1;15;2;2;3;2;36;6673
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1713;2;28;2;2;6;2;32;10594
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1700;1;27;6;5;32;5;36;14930
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1727;1;35;3;3;40;3;37;14734
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1739;1;38;1;1;4;1;29;19351
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2033;1;42;3;3;32;3;37;25493
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1766;-;17;6;5;22;5;36;47817
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1746;-;58;4;4;28;4;32;41480
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1733;1;45;3;3;40;3;32;49252
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;1742;1;38;4;4;28;4;36;50042
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2113;-;18;6;5;16;5;37;57158
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2496;1;81;1;1;4;1;34;84527
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;893;4;31;5;5;224;5;35;860928
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2047;-;32;8;5;160;5;37;89852
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2066;1;39;8;5;96;5;36;119130
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2673;1;57;9;5;46;5;35;8200
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2273;-;38;11;5;80;5;37;155152
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2544;1;86;1;1;8;1;32;233097
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2701;-;71;16;5;240;5;34;202911
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2657;1;71;18;5;23;5;36;178258
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2663;1;61;12;5;64;5;37;204571
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;2669;1;61;16;5;368;5;37;396308
~/Workplace/PSL/SeLFiE/Evaluation/Hybrid_Logic.thy;3638;4;49;2;2;12;2;35;568647
~/Workplace/PSL/SeLFiE/Evaluation/BinomialHeap.thy;40;1;22;7;5;16;5;37;2313
