~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/BinomialHeap.thy;980;1;1;3;3;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;62;1;1;298;1813;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;227;0;0;108858;48227;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;242;0;0;178532;133841;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;265;0;0;128754;112410;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;320;0;0;56919;125659;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;373;0;0;59845;35735;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;398;0;0;86354;346772;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;424;0;0;94862;315332;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;488;0;0;32421;85192;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;498;1;0;32785;310309;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;504;0;0;66215;61730;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;531;1;1;284;2472;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;538;0;0;60655;70374;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;614;1;1;12807;39591;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;619;0;0;35963;35399;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;622;1;1;9380;24725;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;644;0;0;35703;35602;
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation_PLDI_Small/Binomial-Heaps/SkewBinomialHeap.thy;669;0;0;33758;36618;
