~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,224,-,91.0,3161
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1384,2,92.0,5902
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1310,2,92.0,5204
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1329,2,92.0,5260
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1447,2,98.0,3291
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1424,5,98.0,4277
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,252,-,96.0,39883
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,325,-,88.0,43942
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,51,-,96.0,44367
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1399,2,92.0,6207
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1472,2,92.0,6527
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1553,2,92.0,5083
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,128,-,96.0,52975
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1344,-,96.0,808
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1361,1,96.0,1054
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1348,1,96.0,401
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,380,-,96.0,52417
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,1010,1,98.0,3393
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,809,1,99.0,31208
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/CoreC++/TypeSafe.thy,231,-,97.0,48446
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/BinomialHeap.thy,45,1,99.0,1040
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/SkewBinomialHeap.thy,62,1,99.0,1470
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/BinomialHeap.thy,39,1,99.0,1562
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/BinomialHeap.thy,146,9,95.0,1440
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/BinomialHeap.thy,140,8,92.0,1898
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/BinomialHeap.thy,107,-,96.0,1099
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/BinomialHeap.thy,202,-,98.0,511
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/BinomialHeap.thy,153,3,98.0,1496
~/Workplace/PSL_Perform/PSL/SeLFiE/Evaluation/Binomial-Heaps/BinomialHeap.thy,181,2,98.0,1916
