Challenge,70,1,8,8,8,21,2091,0,1,0,0
Challenge,75,1,8,8,8,21,2072,0,1,0,0
Challenge,85,1,8,8,8,21,1605,0,1,0,0
Challenge,105,1,12,12,12,21,1517,0,1,0,0
Challenge,112,1,12,12,12,21,1460,0,1,0,0
Challenge,124,1,12,12,12,19,3723,0,1,0,0
Challenge,146,1,8,8,8,21,3087,0,1,0,0
Challenge,152,1,8,8,8,21,8925,0,1,0,0
Challenge,158,1,8,8,8,21,8872,0,1,0,0
Challenge,223,-,12,10,10,21,1312,1,1,0,1
Challenge,267,-,128,16,16,21,13138,0,1,1,0
Challenge,281,-,1040,32,32,21,49019,0,1,1,0
DFS,26,2,128,16,16,21,6694,0,0,0,0
DFS,41,2,20,8,8,21,4292,0,0,0,0
DFS,86,-,256,40,40,21,19804,0,1,0,0
DFS,124,1,3120,592,592,21,153443,0,1,0,0
DFS,127,1,384,144,144,21,22647,0,1,0,0
DFS,133,1,384,144,144,21,29762,0,1,0,0
DFS,136,1,384,144,144,21,29714,0,1,0,0
DFS,157,-,384,144,144,21,81569,0,1,0,0
DFS,171,2,20,8,8,19,1959,0,0,0,0
DFS,200,1,384,144,144,21,45130,0,1,0,0
Goodstein,126,4,128,32,32,21,14082,0,0,0,0
Goodstein,130,4,128,32,32,21,13367,0,0,0,0
Goodstein,134,2,20,12,12,18,4069,0,0,0,0
Goodstein,142,2,20,12,12,21,3965,0,0,0,0
Goodstein,153,1,4,4,4,21,1096,0,0,0,0
Goodstein,157,2,128,32,32,21,11564,0,0,0,0
Goodstein,161,4,128,32,32,21,13088,0,0,0,0
Goodstein,165,2,128,32,32,21,10264,0,0,0,0
Goodstein,169,2,20,12,12,21,4106,0,0,0,0
Goodstein,195,-,1040,80,80,21,35847,1,0,0,0
Goodstein,199,-,128,32,32,21,15854,1,0,0,0
Goodstein,208,-,40,24,24,21,7026,1,1,0,0
Goodstein,221,2,40,20,20,21,12216,0,0,0,0
Goodstein,225,3,40,16,16,21,8418,1,0,0,0
Goodstein,231,3,60,32,32,21,6711,0,1,0,0
Goodstein,235,1,256,40,40,21,22786,0,0,0,0
Goodstein,239,4,256,64,64,20,33940,0,0,0,0
Goodstein,251,3,60,28,28,21,27024,1,1,0,0
Goodstein,263,-,40,12,12,18,5172,0,0,0,0
Goodstein,281,-,40,12,12,18,4268,1,1,1,0
Goodstein,287,5,60,32,32,21,7124,0,1,0,0
Goodstein,299,-,40,12,12,18,2252,1,1,1,0
Goodstein,313,5,60,32,32,21,7584,0,1,0,0
Goodstein,321,6,60,32,32,21,11453,0,1,0,0
Goodstein,325,7,256,56,56,21,48615,1,1,0,0
Goodstein,333,1,60,36,36,20,25502,0,1,0,0
Goodstein,337,1,60,36,36,19,30426,0,1,0,0
Goodstein,341,8,384,72,72,19,211550,0,1,0,0
Goodstein,378,1,384,40,40,19,18993,0,0,0,0
Goodstein,382,9,40,16,16,20,7773,0,0,0,0
Goodstein,386,2,20,12,12,21,4095,0,0,0,0
Goodstein,395,-,1040,80,80,21,368399,1,0,0,0
Goodstein,442,-,512,88,88,21,49435,1,1,0,0
Goodstein,483,5,512,48,48,19,54158,1,1,0,0
Goodstein,509,1,120,32,32,20,16317,0,1,0,0
Goodstein,521,8,120,16,16,18,6999,0,0,0,0
Goodstein,524,1,20,12,12,19,3383,0,0,0,0
Goodstein,531,-,120,16,16,18,38910,0,1,1,0
Goodstein,555,-,256,72,72,21,46010,1,1,1,1
Goodstein,567,2,100,20,20,19,5871,0,1,0,0
Goodstein,613,1,60,36,36,21,22857,0,1,0,0
Goodstein,625,1,40,24,24,21,2936,0,1,0,0
Goodstein,631,3,60,36,36,21,21545,0,1,0,0
Goodstein,681,9,1040,48,48,21,35953,0,0,0,0
Goodstein,688,5,10000,96,96,21,79633,0,0,0,0
Goodstein,696,4,1040,32,32,21,31806,0,0,0,0
Goodstein,705,1,10000,64,64,18,50562,0,0,0,0
Goodstein,712,1,128,24,24,19,23226,1,0,0,0
Goodstein,725,1,10000,128,128,18,46468,0,0,0,0
Goodstein,735,1,10000,128,128,19,442128,0,0,0,0
Goodstein,744,1,10000,128,128,19,456412,0,0,0,0
Goodstein,753,1,10000,64,64,18,175991,0,0,0,0
NN,37,8,128,32,32,20,12615,0,0,0,0
NN,47,1,128,32,32,21,41414,1,0,0,0
NN,52,6,128,32,32,20,54463,0,0,0,0
NN,185,-,3120,192,192,21,67018,1,0,0,0
NN,191,-,3120,192,192,21,83324,1,0,0,0
NN,195,7,2080,160,160,21,76970,1,0,0,0
NN,201,7,2080,160,160,21,146343,1,0,0,0
NN,238,7,2080,160,160,21,116750,1,0,0,0
NN,244,-,2080,160,160,21,107411,1,0,0,0
NN,264,-,2080,160,160,21,102493,1,0,0,0
NN,284,5,3120,192,192,21,129429,1,0,0,0
PST,170,1,60,44,44,21,12145,0,1,0,0
PST,174,1,640,80,72,21,37689,0,1,0,0
PST,183,1,100,36,32,21,16746,0,1,0,0
PST,224,1,512,136,136,21,49557,0,1,0,0
PST,228,1,512,136,136,21,49576,0,1,0,0
PST,237,1,384,112,112,21,63908,0,1,0,0
PST,241,1,384,112,112,21,65324,0,1,0,0
PST,249,1,512,136,136,21,88130,0,1,0,0
PST,253,1,512,136,136,21,94625,0,1,0,0
PST,259,1,640,96,96,21,61075,0,1,0,0
PST,265,1,384,64,64,21,29439,0,1,0,0
PST,279,1,384,64,64,21,15598,0,1,0,0
PST,296,1,768,184,184,21,312728,0,1,0,0
PST,302,1,640,160,160,21,282871,0,1,0,0
PST,305,1,640,160,160,21,97950,0,1,0,0
PST,308,1,512,136,136,21,51439,0,1,0,0
PST,314,1,768,184,184,21,272442,0,1,0,0
PST,318,1,640,160,160,21,90944,0,1,0,0
PST,321,1,512,136,136,21,47529,0,1,0,0
PST,327,1,80,56,56,21,52848,0,1,0,0
PST,335,1,100,68,68,21,71192,0,1,0,0
PST,344,1,140,60,60,21,160278,0,1,0,0
PST,375,1,60,44,44,21,14551,0,1,0,0
PST,379,1,60,28,28,21,6166,0,1,0,0
