;;;;;;;
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;70;1;8;8;8;27;1839
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;75;1;8;8;8;27;1822
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;85;1;8;8;8;27;1390
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;105;1;12;12;12;27;1295
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;112;1;12;12;12;27;1286
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;124;1;12;12;12;25;3434
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;146;1;8;8;8;27;2787
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;152;1;8;8;8;27;8717
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;158;1;8;8;8;27;8644
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;223;-;12;10;10;27;1118
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;267;-;128;16;16;27;10626
~/Workplace/PSL/Smart_Induct/Evaluation/Challenge1A.thy;281;-;1040;32;32;27;42544
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;26;2;128;16;16;27;4864
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;41;2;20;8;8;27;3152
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;86;-;256;40;40;27;15226
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;124;1;3120;592;592;27;126665
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;127;1;384;144;144;27;17593
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;133;1;384;144;144;27;22920
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;136;1;384;144;144;27;23306
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;157;-;384;144;144;27;70921
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;171;2;20;8;8;25;1570
~/Workplace/PSL/Smart_Induct/Evaluation/DFS.thy;200;1;384;144;144;27;35789
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;126;4;128;32;32;27;11672
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;130;4;128;32;32;27;12128
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;134;2;20;12;12;24;3828
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;142;2;20;12;12;27;3647
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;153;1;4;4;4;27;1212
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;157;2;128;32;32;27;10366
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;161;4;128;32;32;27;12449
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;165;2;128;32;32;27;9265
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;169;2;20;12;12;27;4471
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;195;-;1040;80;80;27;29432
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;199;-;128;32;32;27;12496
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;208;-;40;24;24;27;5557
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;221;2;40;20;20;27;11505
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;225;3;40;16;16;27;8062
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;231;3;60;32;32;27;5801
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;235;1;256;40;40;27;18825
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;239;4;256;64;64;26;27607
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;251;3;60;28;28;27;21483
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;263;-;40;12;12;24;2705
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;281;-;40;12;12;24;1959
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;287;5;60;32;32;27;5494
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;299;-;40;12;12;24;1919
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;313;5;60;32;32;27;6962
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;321;6;60;32;32;27;10194
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;325;7;256;56;56;27;42273
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;333;1;60;36;36;26;21029
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;337;1;60;36;36;25;24855
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;341;8;384;72;72;25;152485
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;378;1;384;40;40;25;14558
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;382;9;40;16;16;26;5995
~/Workplace/PSL/Smart_Induct/Evaluation/Goodstein_Lambda.thy;386;2;20;12;12;27;2947
